slug,clashes_before,clashes_after,energy_before_kJ,energy_after_kJ,energy_drop_kJ,time_s,source
avgfp454,6.0,6.0,53935.04610014678,11530.161723126585,42404.88437702019,11.895816326141356,openmm_minimized
avicfp1,13.0,14.0,83893.02402575819,10990.094993803354,72902.92903195483,13.261691331863403,openmm_minimized
avicfp2,2.0,2.0,80340.49385151014,10213.098941710668,70127.39490979948,13.69000506401062,openmm_minimized
avicfp3,1.0,1.0,125359.08448993137,10301.103536863862,115057.98095306753,10.840902328491213,openmm_minimized
avicfp4,9.0,9.0,105708.93022325044,12167.957104082465,93540.97311916796,13.452383756637571,openmm_minimized
azaleab5,5.0,7.0,109300.96664988308,14575.913213973705,94725.0534359094,10.278982162475586,openmm_minimized
azamigreen,5.0,8.0,87289.98734228383,8720.094301359786,78569.89304092404,14.077298402786257,openmm_minimized
azurite,5.0,7.0,59363.0078322953,11032.482298535102,48330.5255337602,12.501664161682127,openmm_minimized
bdfp20,6.0,8.0,25252510.59053923,16135.205552481417,25236375.384986747,21.899141788482662,openmm_minimized
bflogfpa1,11.0,15.0,352623.85796648747,15647.740976625004,336976.11698986246,13.236140966415403,openmm_minimized
bfp,7.0,6.0,53389.57548288297,11423.54852691659,41966.02695596638,12.897308111190796,openmm_minimized
bfp5,6.0,6.0,53109.528768529104,11967.838352658042,41141.69041587106,10.344005823135376,openmm_minimized
bfpa5,7.0,8.0,550000.744324255,11080.828795698284,538919.9155285568,12.160694360733032,openmm_minimized
bluebonnet2,15.0,13.0,123599.014926547,13079.977257812938,110519.03766873406,13.539026975631714,openmm_minimized
bruslee,10.0,8.0,53770.415302089226,11196.915036561662,42573.50026552756,11.632675409317017,openmm_minimized
bsdronpa,5.0,7.0,86551.25579342995,10891.6190273303,75659.63676609966,13.493603467941284,openmm_minimized
c3pa-gfp,4.0,6.0,60087.23544029232,11462.565817172976,48624.669623119335,11.239922523498535,openmm_minimized
car-geco1,16.0,20.0,236542795.31070352,19348.115462709953,236523447.1952408,20.936949014663696,openmm_minimized
ccalgfp1,4.0,11.0,69074.71731631091,13907.12850019334,55167.58881611757,12.742287158966064,openmm_minimized
