slug,clashes_before,clashes_after,energy_before_kJ,energy_after_kJ,energy_drop_kJ,time_s,source
htfunclib_bleach2,9.0,8.0,58991.185624238155,12874.37800166668,46116.80762257147,13.288910865783691,openmm_minimized
htfunclib_bleach3,13.0,11.0,59043.3645644928,12939.949666268669,46103.41489822414,11.28928565979004,openmm_minimized
htfunclib_bleach4,12.0,10.0,109031.2822019224,12695.224487613195,96336.0577143092,12.471109628677368,openmm_minimized
htfunclib_bleach5,9.0,8.0,75073.21353556619,12720.371180680091,62352.842354886096,12.794915676116943,openmm_minimized
htfunclib_bleach6,10.0,11.0,62905.30795218736,12989.533754578528,49915.77419760883,14.175853490829468,openmm_minimized
htfunclib_em-blue-shift1,12.0,13.0,84811.56827407023,13917.483474546843,70894.08479952339,13.098033666610718,openmm_minimized
htfunclib_em-blue-shift2,10.0,10.0,417306.1346325272,13001.754752374043,404304.3798801532,13.355154514312744,openmm_minimized
htfunclib_fast1,11.0,8.0,61936.625156497066,13003.11976066777,48933.5053958293,11.078916788101196,openmm_minimized
htfunclib_fast2,11.0,9.0,66549.18725456225,12375.081909545404,54174.10534501684,11.446141958236694,openmm_minimized
htfunclib_fast3,10.0,9.0,67245.27610113654,13482.893768410968,53762.38233272557,11.24450135231018,openmm_minimized
htfunclib_fast4,13.0,9.0,89354.39066340026,13090.278035364836,76264.11262803542,13.699136972427368,openmm_minimized
htfunclib_mid10,11.0,9.0,67547.71626320323,12500.09176134673,55047.624501856495,13.128326892852783,openmm_minimized
htfunclib_mid11,12.0,8.0,72958.80727253086,13765.362314128372,59193.44495840248,13.350473165512083,openmm_minimized
htfunclib_mid12,13.0,11.0,55772.766647716744,12334.158813413334,43438.60783430341,12.029458284378052,openmm_minimized
htfunclib_mid13,10.0,8.0,59724.46853951462,12502.476570918969,47221.991968595656,10.706075191497805,openmm_minimized
htfunclib_mid2,9.0,10.0,63223.43587266773,14131.84781270538,49091.58805996235,11.664544820785522,openmm_minimized
htfunclib_mid3,17.0,16.0,14418580.260810075,14847.735800241488,14403732.525009831,12.527108430862429,openmm_minimized
htfunclib_mid4,9.0,7.0,67209.14579895555,12885.5698923658,54323.57590658975,11.968019247055054,openmm_minimized
htfunclib_mid5,9.0,9.0,62389.160722027875,12280.857947284729,50108.30277474315,12.261471271514893,openmm_minimized
htfunclib_mid6,10.0,7.0,58409.24039257152,13289.15652490666,45120.08386766486,12.409820556640623,openmm_minimized
htfunclib_mid7,12.0,8.0,94256.76720788618,12285.21857420932,81971.54863367687,11.804343700408936,openmm_minimized
htfunclib_mid8,9.0,8.0,846564.7246981293,12998.137859531404,833566.5868385979,12.691574096679688,openmm_minimized
htfunclib_mid9,11.0,11.0,60038.59272994184,12743.739625110484,47294.85310483136,13.13585901260376,openmm_minimized
htfunclib_photostable1,8.0,7.0,56810.90067500572,13397.79771228746,43413.102962718265,11.860433578491213,openmm_minimized
htfunclib_photostable2,9.0,8.0,81538.05676519171,12914.001787037514,68624.05497815419,10.415992975234984,openmm_minimized
htfunclib_sfacid3,6.0,7.0,142857.34750932473,12047.78405986689,130809.56344945784,13.28296446800232,openmm_minimized
htfunclib_sfacid4,4.0,8.0,122129.56353098773,11561.422286887297,110568.14124410042,13.72625970840454,openmm_minimized
htfunclib_sfacid5,6.0,11.0,206636162222.19504,11142.290017833096,206636151079.90503,13.461884260177612,openmm_minimized
htfunclib_sfbleach1,13.0,16.0,23219467188.398552,15662.1160569309,23219451526.282497,12.45901584625244,openmm_minimized
htfunclib_sfbleach2,5.0,8.0,68434.50149457756,11266.060963614937,57168.44053096262,12.407525539398192,openmm_minimized
htfunclib_sfbleach3,5.0,6.0,86573.87416334347,11255.876344054524,75317.99781928895,13.68208932876587,openmm_minimized
htfunclib_sfem-blue-shift1,3.0,7.0,295259.2329805368,14437.053361997789,280822.17961853906,13.257792234420776,openmm_minimized
htfunclib_sfem-blue-shift2,10.0,13.0,8583188230.563094,14637.970113960002,8583173592.59298,14.590351104736328,openmm_minimized
htfunclib_sffast3,4.0,6.0,66804.4120719926,11937.15182500245,54867.26024699015,13.892579078674316,openmm_minimized
htfunclib_sfmid10,4.0,7.0,70391.15729351544,11284.277695287434,59106.879598228006,11.695635795593262,openmm_minimized
htfunclib_sfmid11,4.0,6.0,66692.03097016856,11105.996740490851,55586.03422967771,13.357026815414429,openmm_minimized
htfunclib_sfmid12,8.0,6.0,53202.06528189888,10642.386077053608,42559.67920484528,12.139926433563232,openmm_minimized
htfunclib_sfmid5,5.0,5.0,61766.203958939266,10473.230052791156,51292.97390614811,13.781831741333008,openmm_minimized
htfunclib_sfmid7,4.0,7.0,543570.2044672855,11101.24152608043,532468.9629412051,12.97675609588623,openmm_minimized
htfunclib_sfmid9,4.0,5.0,76135.05453288268,10839.27975109078,65295.7747817919,10.943218231201172,openmm_minimized
htfunclib_sfphotostable1,4.0,8.0,67986.63405119549,11137.832917039916,56848.801134155576,14.557032823562622,openmm_minimized
htfunclib_sfphotostable2,4.0,9.0,103127.76808915644,12112.34559102638,91015.42249813006,13.14589500427246,openmm_minimized
htfunclib_sfthermo2,4.0,6.0,1622420.405173918,11091.21496432207,1611329.190209596,14.6823410987854,openmm_minimized
htfunclib_sfthermo9,4.0,8.0,64958.90952124329,11150.424862923168,53808.48465832012,12.330252647399902,openmm_minimized
htfunclib_slow1,9.0,7.0,69196.25700952188,13918.78447198592,55277.47253753596,10.786768436431885,openmm_minimized
htfunclib_slow2,10.0,10.0,59990.85436393684,13008.172685542831,46982.681678394016,15.579604625701904,openmm_minimized
htfunclib_slow3,10.0,8.0,63196.66921082177,12674.602333047646,50522.06687777412,11.86414670944214,openmm_minimized
htfunclib_slow4,10.0,11.0,132752.45432111874,14384.32698404921,118368.12733706953,13.247777223587036,openmm_minimized
htfunclib_slow5,7.0,5.0,61651.383273768864,14082.324223842928,47569.059049925934,12.532898187637327,openmm_minimized
htfunclib_thermo1,9.0,9.0,60336.68239875215,13628.419917034553,46708.2624817176,12.896464586257936,openmm_minimized
htfunclib_thermo2,11.0,10.0,87712.33479865211,13923.91872043994,73788.41607821218,12.065833568572998,openmm_minimized
htfunclib_thermo3,9.0,9.0,63784.585699788106,13151.938161446573,50632.64753834153,11.123319149017334,openmm_minimized
htfunclib_thermo4,11.0,11.0,72184.27605488856,14023.783491340962,58160.4925635476,10.220275163650513,openmm_minimized
htfunclib_thermo5,7.0,7.0,56672.883373350785,12037.05964428075,44635.823729070034,12.475350618362429,openmm_minimized
htfunclib_thermo6,9.0,9.0,58931.45545110081,13475.793107728045,45455.662343372765,10.376878023147585,openmm_minimized
htfunclib_thermo8,10.0,9.0,633407.301963249,13315.819517969949,620091.482445279,10.756437301635742,openmm_minimized
htfunclib_thermo9,11.0,10.0,64809.4139626199,12616.96880582074,52192.44515679917,12.295320510864258,openmm_minimized
iq-memerald,9.0,8.0,60769.20208710605,12218.735741619574,48550.46634548648,13.412297248840332,openmm_minimized
jred,12.0,17.0,568719.9351519374,10349.437161265065,558370.4979906724,14.50240707397461,openmm_minimized
kaede,6.0,8.0,260634.61438777743,11358.320720798523,249276.2936669789,12.805295944213867,openmm_minimized
katushka-9-5,6.0,11.0,254787.5879976682,13051.86251391223,241735.72548375596,11.823633670806885,openmm_minimized
katushka2s,8.0,13.0,118065.15701148155,11505.859109664889,106559.29790181668,12.365817546844482,openmm_minimized
kcy-g4219,5.0,9.0,85672.62943329212,14342.958748891017,71329.6706844011,12.799171924591064,openmm_minimized
kcy-g4219-38l,4.0,6.0,51397.09584596028,14847.73252791178,36549.3633180485,12.983394861221312,openmm_minimized
kcy-r1-158a,6.0,8.0,79566.51468911981,14896.431176181484,64670.08351293833,10.25277590751648,openmm_minimized
kcy-r1-38h,9.0,7.0,76444.56570294464,15978.378589799437,60466.187113145206,12.168246984481812,openmm_minimized
kcy-r1-38l,1.0,6.0,91527.48516490884,15339.647829407651,76187.83733550119,13.15129828453064,openmm_minimized
kfp1,3.0,10.0,188838.23705103408,14104.17791002982,174734.05914100425,12.891860723495483,openmm_minimized
ko,4.0,7.0,67003.60747977466,14252.782034710805,52750.82544506385,11.600483894348145,openmm_minimized
kohinoor,4.0,7.0,150363.85151702494,10420.0667856699,139943.78473135503,11.757606744766235,openmm_minimized
kohinoor20,10.0,17.0,271072317.80788434,14130.479427052353,271058187.3284573,13.561543464660645,openmm_minimized
laesgfp,12.0,11.0,-6593101.404619813,10554.950282739195,-6603656.354902552,13.50078797340393,openmm_minimized
lanfp1,20.0,20.0,5416954394.925268,16187.97862044154,5416938206.946648,12.78874945640564,openmm_minimized
lanfp2,13.0,12.0,126426.36079503394,15421.223655592808,111005.13713944113,12.159302711486816,openmm_minimized
lime,6.0,7.0,62077.980584458215,9260.37092042892,52817.609664029296,11.06390643119812,openmm_minimized
lssa12,2.0,9.0,56114.8736307255,11049.38022778378,45065.49340294172,10.006057262420654,openmm_minimized
lssmapple,3.0,3.0,60408.733986585816,13364.288637807447,47044.44534877837,12.575740814208984,openmm_minimized
lssmcherry1,3.0,3.0,145007831.58268303,10608.795910788229,144997222.78677225,13.379070520401,openmm_minimized
lssmgfp,5.0,9.0,90845.78918691137,10156.77784042694,80689.01134648442,10.328311681747437,openmm_minimized
lssmscarlet2,3.0,6.0,76058.96092464033,8585.037131111487,67473.92379352884,12.701666355133057,openmm_minimized
lssmscarlet3,3.0,11.0,91073.91253571628,8439.953308912589,82633.95922680368,13.451117753982544,openmm_minimized
m-velour-537,8.0,16.0,498992028.3499323,13733.72177744606,498978294.6281549,13.030871868133543,openmm_minimized
m-velour-553,16.0,22.0,133628353209.65492,13103.068269261716,133628340106.58664,13.972554206848145,openmm_minimized
m-velour-554,12.0,15.0,175019047741.55878,13705.82548907544,175019034035.73328,13.28664779663086,openmm_minimized
m355na,3.0,10.0,79147186.7885947,13898.005656879966,79133288.78293781,12.893169641494753,openmm_minimized
mametrine,8.0,10.0,63739.85183143478,10741.91072721793,52997.94110421685,10.54345202445984,openmm_minimized
mapple,4.0,5.0,782382.0275245802,13043.714507948502,769338.3130166318,12.345026016235352,openmm_minimized
maroon01,9.0,12.0,631054986.5776101,10753.571436560109,631044233.0061736,12.922096014022827,openmm_minimized
mars1,2.0,5.0,687740.2706130022,8446.54493137378,679293.7256816284,11.506512880325316,openmm_minimized
mavicfp1,10.0,10.0,54864.69991994481,11764.844616049497,43099.85530389531,12.06860637664795,openmm_minimized
mbanana,5.0,10.0,91385.93872794684,13041.987823933834,78343.950904013,12.68815016746521,openmm_minimized
mbaojin-t55s,3.0,3.0,400620.26824848,16037.002552880997,384583.26569559897,12.87085747718811,openmm_minimized
mberfp,13.0,16.0,202929.2968727223,9965.23384234582,192964.06303037648,14.122976064682009,openmm_minimized
mblueberry1,5.0,6.0,188923.7031836836,8856.536341018851,180067.16684266477,13.42995309829712,openmm_minimized
mblueberry2,4.0,7.0,14305676.108466458,13754.893800940998,14291921.214665515,11.237813711166382,openmm_minimized
mc1,4.0,7.0,65958.6465496299,9515.01311971389,56443.633429916015,12.004765510559082,openmm_minimized
mc2,6.0,9.0,58054.81698436591,12485.18723090767,45569.62975345824,12.910965204238892,openmm_minimized
mc3,5.0,10.0,2588788.226182508,10531.73494323157,2578256.491239276,11.125494003295898,openmm_minimized
mc4,5.0,8.0,-458164.9687555997,11361.963484642318,-469526.9322402419,13.35111165046692,openmm_minimized
mc5,5.0,8.0,67638.94902255016,10483.425596076188,57155.52342647398,11.530952215194702,openmm_minimized
mc6,8.0,10.0,55183.40730179805,8216.51286918801,46966.89443261004,11.151069402694702,openmm_minimized
mcag1,6.0,7.0,55770.54946427596,12364.27265695496,43406.276807320995,12.223907947540283,openmm_minimized
mcag1ea,7.0,10.0,106930.77535434387,12238.77495089011,94692.00040345376,12.761883020401,openmm_minimized
mcag2,10.0,11.0,61937.17011610966,7157.309031492566,54779.86108461709,11.715381622314451,openmm_minimized
mcarmine,10.0,14.0,5734572.648992453,11794.709753867684,5722777.9392385855,14.346699237823486,openmm_minimized
mcavfp,6.0,8.0,65142.73230397383,11018.793703688683,54123.938600285146,9.91619634628296,openmm_minimized
mcavgfp,6.0,7.0,72901.79244406956,11104.894602093646,61796.89784197592,13.498876810073853,openmm_minimized
mcavrfp,3.0,7.0,69708.29736542434,9601.331045839464,60106.96631958488,11.599015951156616,openmm_minimized
mccfp,5.0,8.0,220967.0942818211,10641.25404127123,210325.84024054988,11.060871839523315,openmm_minimized
mcerulean,5.0,5.0,67914.19872412444,11994.298546963855,55919.90017716058,11.12932538986206,openmm_minimized
mcerulean2,10.0,11.0,66631.2283779383,12980.085867743805,53651.1425101945,11.492417812347412,openmm_minimized
mcerulean2d3,11.0,11.0,65437.9904478718,12537.733557360703,52900.2568905111,13.586814641952516,openmm_minimized
mcerulean2n,10.0,9.0,66647.40775188094,12834.010677715953,53813.39707416498,12.311750173568726,openmm_minimized
mcerulean2nt65s,8.0,6.0,70335.00043438937,13306.291972986168,57028.7084614032,11.822713136672974,openmm_minimized
mceruleanb,9.0,8.0,63404.54057473465,12524.57203162238,50879.96854311227,12.719526767730711,openmm_minimized
mceruleanb2,9.0,11.0,62274.82274835503,12749.766152266608,49525.05659608842,10.49964189529419,openmm_minimized
mceruleanb24,9.0,9.0,67577.69589600319,12126.438306927914,55451.25758907528,10.426484107971191,openmm_minimized
mcfp497,5.0,8.0,118784.86160958758,8753.437698489248,110031.42391109832,13.856248140335085,openmm_minimized
mcfp503,5.0,8.0,73584.85634133074,12309.39204615172,61275.46429517902,12.05712604522705,openmm_minimized
mcfp506,6.0,8.0,65236.45505608402,12179.90788075388,53056.54717533014,12.182338953018188,openmm_minimized
mchartreuse,5.0,6.0,63099.7746717883,11456.87484137768,51642.89983041062,11.658361911773682,openmm_minimized
mcherry-xl,2.0,7.0,946451.1571697474,10978.595297218862,935472.5618725284,14.474463701248167,openmm_minimized
mcherry15,3.0,5.0,283449.8360858075,11562.531258111054,271887.3048276964,13.934417486190796,openmm_minimized
mcherry2,5.0,8.0,78661.7586705564,11502.908776798213,67158.84989375819,12.879109382629396,openmm_minimized
mcherry_i202t,2.0,2.0,73309.69118229077,11460.223917267153,61849.46726502362,14.148603200912476,openmm_minimized
mcherry_i202y,2.0,4.0,295340.75144532294,11825.522367289925,283515.229078033,13.794472217559814,openmm_minimized
mcherry_m10l,2.0,2.0,65744.80354515139,11717.433237071104,54027.37030808028,10.55871319770813,openmm_minimized
mcitrine,6.0,10.0,48586.4509952467,12275.182282560196,36311.268712686506,13.919666051864624,openmm_minimized
mclavgr1,5.0,8.0,62732.47474123578,15282.429116011595,47450.045625224186,13.304773330688477,openmm_minimized
mclavgr11,6.0,8.0,190997.1633944345,12507.41377795636,178489.74961647813,10.686711549758911,openmm_minimized
mclavgr18,5.0,8.0,210063.4133178063,13112.555643841588,196950.8576739647,13.604952096939089,openmm_minimized
mclavgr2,6.0,8.0,90280.31131329684,13844.228015275456,76436.08329802139,13.616928100585938,openmm_minimized
mclover15,8.0,5.0,50687.08924087807,11847.4025958219,38839.68664505617,10.808639526367188,openmm_minimized
mclover3,8.0,10.0,53212.529290198305,11696.261013750049,41516.26827644826,9.878335952758787,openmm_minimized
mcrfp,3.0,7.0,116711.17994299516,9554.55500194592,107156.62494104925,12.07476806640625,openmm_minimized
mcyrfp1,9.0,8.0,44330181684.90338,10650.714050515864,44330171034.18933,10.860201358795166,openmm_minimized
mecfp,10.0,10.0,65094.847351193086,12740.70587156101,52354.141479632075,13.54673719406128,openmm_minimized
medium-ft,2.0,3.0,1437721.980947971,12682.224659295807,1425039.7562886754,12.354446411132812,openmm_minimized
meffcfp,4.0,8.0,110349.99450480356,17909.982985690734,92440.01151911284,12.514647960662842,openmm_minimized
meffcp,3.0,7.0,62487.422607200715,11655.691553124976,50831.73105407574,11.240570068359377,openmm_minimized
meffgfp,8.0,12.0,123802.16310612138,10621.272413411438,113180.89069270996,11.171062231063845,openmm_minimized
meffrfp,12.0,13.0,51824.312335456976,11431.038881878843,40393.273453578135,11.138998746871948,openmm_minimized
megfp,10.0,7.0,61092.776547057816,11246.064986895912,49846.7115601619,11.927998781204224,openmm_minimized
melecfp,4.0,9.0,2023710.0602298991,8204.000575337457,2015506.0596545616,11.47121000289917,openmm_minimized
melerfp,5.0,9.0,74330.13485432776,7832.155376107955,66497.9794782198,10.973475933074951,openmm_minimized
memerald,5.0,6.0,59974.63764156296,12621.95071956377,47352.68692199919,11.557955980300903,openmm_minimized
meos2-na,5.0,8.0,52250.69937634124,9348.252287276166,42902.44708906507,11.284027099609377,openmm_minimized
meos31,4.0,8.0,55769.014723259505,9101.1768294157,46667.8378938438,12.485044240951538,openmm_minimized
meos32,4.0,8.0,52701.36180655668,9763.769178476572,42937.59262808011,12.191030263900757,openmm_minimized
meos4a,4.0,7.0,81330.16708213491,8336.342635606281,72993.82444652863,12.460749626159668,openmm_minimized
meos4fast1,5.0,6.0,69037.53912427496,7899.559419023935,61137.979705251026,11.152864694595335,openmm_minimized
meos4fast2,6.0,7.0,70511.01272472517,8581.476582956253,61929.53614176891,11.51259422302246,openmm_minimized
meosem,5.0,6.0,689645.1087078464,8596.473867436462,681048.63484041,10.056484937667848,openmm_minimized
meosfp-f173s,5.0,6.0,66251.25778501801,9507.366165621988,56743.891619396025,10.916284561157228,openmm_minimized
meosfp-m159a,4.0,5.0,958091865432.1384,9648.63932876385,958091855783.4991,11.877334117889404,openmm_minimized
merufp,5.0,8.0,64288.54904134094,8606.194025115103,55682.35501622584,11.87477159500122,openmm_minimized
meyfp,3.0,4.0,46218.61682072729,12355.193018561837,33863.42380216546,12.58177614212036,openmm_minimized
mfag1,4.0,7.0,103916.6657658672,11917.417991000828,91999.24777486637,12.22328281402588,openmm_minimized
mgarnet,6.0,8.0,63180.045247288006,8578.365752297235,54601.67949499077,13.153266668319702,openmm_minimized
mgarnet2,4.0,9.0,12835560.14848706,8827.010322774147,12826733.138164286,11.501858949661257,openmm_minimized
mgeos-c,4.0,6.0,70946.85632082933,9473.663914049592,61473.192406779744,11.01973009109497,openmm_minimized
mgeos-e,5.0,7.0,80049.30901462579,9170.906711589902,70878.4023030359,11.955743551254272,openmm_minimized
mgeos-f,11.0,13.0,70348.22134019251,9630.348173481352,60717.87316671116,11.446749210357666,openmm_minimized
mgeos-l,8.0,10.0,54523.43579236537,9592.410512323046,44931.025280042326,11.756518363952637,openmm_minimized
mgeos-m,8.0,13.0,95348.82713341725,9713.60976057405,85635.21737284318,11.99190640449524,openmm_minimized
mgeos-s,5.0,7.0,71200.3673169686,9505.613862875787,61694.7534540928,11.658390522003174,openmm_minimized
mgfp5,6.0,7.0,-102414279.51523748,12324.141715010695,-102426603.65695249,12.28113603591919,openmm_minimized
mgfpmut3,6.0,6.0,51088.96488418615,12094.9137045545,38994.05117963165,11.06513285636902,openmm_minimized
mginger1,9.0,14.0,2573709924.4382796,12374.017427451963,2573697550.420852,12.684773206710815,openmm_minimized
mginger2,7.0,13.0,72117698773.1615,9990.675578377924,72117688782.48592,13.01058840751648,openmm_minimized
mgold,6.0,5.0,50905.2555373511,12587.5596314169,38317.6959059342,10.409916162490845,openmm_minimized
mgold2s,10.0,10.0,57079.64596362469,9784.663745428932,47294.98221819576,10.58928370475769,openmm_minimized
mgold2t,9.0,9.0,51115.476729361755,9645.148947859772,41470.32778150198,11.155352115631104,openmm_minimized
mgrape1,2.0,2.0,56442.312941570606,10951.109055152512,45491.203886418094,12.000064849853516,openmm_minimized
mgrape2,2.0,6.0,631719.2826215073,13252.075795901876,618467.2068256055,12.696372032165527,openmm_minimized
mgrape3,2.0,2.0,1164742.9014295037,13221.023439497563,1151521.8779900062,13.160115480422974,openmm_minimized
mgreenlantern,12.0,12.0,-35717586.93661993,11488.745524497124,-35729075.682144426,12.1284282207489,openmm_minimized
mhoneydew,3.0,8.0,-13675729.551699642,11491.305952558449,-13687220.8576522,14.428141117095947,openmm_minimized
micy,5.0,7.0,33406759290388.117,12233.97104213999,33406759278154.145,12.78315806388855,openmm_minimized
mirisfp,4.0,6.0,72218.76920548573,9635.447935441493,62583.32127004424,10.652208089828491,openmm_minimized
mjuniper,5.0,3.0,64125.07109963505,11168.294181168334,52956.77691846672,10.724677562713625,openmm_minimized
mk-go,5.0,8.0,98020.74873249084,12183.416322829116,85837.33240966171,11.76215934753418,openmm_minimized
mkalama1,8.0,7.0,54519.295480200846,9012.58037254192,45506.71510765892,12.98337697982788,openmm_minimized
mkate-m41g-s158c,8.0,14.0,93576.188012544,9222.221472077032,84353.96654046698,12.500311613082886,openmm_minimized
mkate-s158a,7.0,12.0,178056.15556629462,9733.305662636312,168322.8499036583,12.201307535171509,openmm_minimized
mkate-s158c,9.0,13.0,162968.29767000195,9508.27832882615,153460.0193411758,11.797062397003174,openmm_minimized
mkate2,7.0,13.0,79883.47710342245,8713.512999459077,71169.96410396337,11.18427038192749,openmm_minimized
mkate25,11.0,11.0,971404.992141466,9898.591933176154,961506.4002082896,10.444998502731323,openmm_minimized
mkelly1,12.0,17.0,14019.114561413184,7015.316619849308,7003.797941563876,11.786547899246216,openmm_minimized
mkelly2,10.0,14.0,72849031.33210358,8027.38836554745,72841003.94373803,13.38211178779602,openmm_minimized
mkg,5.0,8.0,80515.71356683645,11597.06833988735,68918.6452269491,11.069713354110718,openmm_minimized
mkikgr,3.0,6.0,89574.22343929461,8863.058070921856,80711.16536837275,13.404752492904665,openmm_minimized
mko2,10.0,14.0,-297800.9224445887,11673.150739712552,-309474.07318430126,12.738693475723268,openmm_minimized
mkokappa,5.0,9.0,66484.23910913676,11676.291422163024,54807.94768697374,11.61250615119934,openmm_minimized
mlemon,2.0,4.0,-1273524.660297011,11884.496406208911,-1285409.15670322,11.069837093353271,openmm_minimized
mlumin,10.0,15.0,3018306.076790664,10028.389882107402,3008277.6869085566,9.776589632034302,openmm_minimized
mlychee,2.0,2.0,122070.94788667464,12074.695319969116,109996.25256670552,11.203832864761353,openmm_minimized
mmaple,5.0,9.0,78302.03783018081,11992.225908902596,66309.81192127822,12.069928407669067,openmm_minimized
mmaple2,5.0,9.0,83913.36462556015,11947.308540841665,71966.05608471848,12.365647077560425,openmm_minimized
mmaple3,6.0,8.0,68384.71835556536,11169.082634827097,57215.63572073827,13.98642873764038,openmm_minimized
mmaroon1,10.0,9.0,1124506.3673505422,9524.226591595943,1114982.1407589463,13.436774730682371,openmm_minimized
mmgfp,11.0,17.0,109025.14832710128,11536.21328425584,97488.93504284543,10.975361585617064,openmm_minimized
mmgfp6,4.0,7.0,57850.63962853397,11658.654672961637,46191.984955572334,10.374232292175291,openmm_minimized
mmicy,7.0,10.0,22359983826.681618,13008.621273665403,22359970818.060345,10.166504621505736,openmm_minimized
mmilcfp,4.0,5.0,115662.09972987366,16371.7940748505,99290.30565502316,12.331039428710938,openmm_minimized
mnectarine,1.0,6.0,98253.86526872587,10722.815497323554,87531.04977140232,13.192525148391724,openmm_minimized
mneptune,7.0,12.0,2325684.5884506195,11834.269876731529,2313850.318573888,14.38835835456848,openmm_minimized
mneptune2,8.0,9.0,1793064.297168827,10375.362065680738,1782688.935103146,14.588428258895874,openmm_minimized
mneptune25,6.0,10.0,114781241.53494538,10436.509279743692,114770805.02566564,13.19170880317688,openmm_minimized
mneptune681,11.0,12.0,66191.2855399698,11077.44013022086,55113.845409748945,14.527619123458862,openmm_minimized
mneptune684,10.0,18.0,80805.74504941082,11014.00474822749,69791.74030118334,13.54017448425293,openmm_minimized
mofpt12,2.0,6.0,175613.59850124485,11911.283374557896,163702.31512668694,12.53865098953247,openmm_minimized
mofpt8,3.0,6.0,74364.8589719857,11852.364082658363,62512.49488932733,10.74762201309204,openmm_minimized
montfp,5.0,5.0,140130.24248415127,7614.940636697076,132515.3018474542,10.087601900100708,openmm_minimized
montipora-sp-20,7.0,12.0,98098.37353724512,13191.219613701249,84907.15392354388,11.102545261383057,openmm_minimized
montipora-sp-20-9115,6.0,7.0,48549384.050645,12259.027433997187,48537125.023211,10.088695764541626,openmm_minimized
morange2,2.0,9.0,89525.76171160796,11920.046746496397,77605.71496511156,12.498658657073976,openmm_minimized
moxbfp,5.0,8.0,62736.6354867626,9754.55416691772,52982.08131984488,11.787320137023926,openmm_minimized
moxcerulean3,3.0,2.0,73061.36731169642,11828.712747213,61232.65456448342,12.06109094619751,openmm_minimized
moxdendra2,3.0,7.0,63502.65068237501,10229.63106314142,53273.019619233586,13.123549222946169,openmm_minimized
moxeos32,5.0,8.0,73654.51340245518,9390.36009516884,64264.15330728634,9.527439832687378,openmm_minimized
moxgfp,6.0,6.0,60017.533902571704,9664.354738523229,50353.17916404847,10.512404203414915,openmm_minimized
moxmaple3,5.0,7.0,59215.92169643211,11841.860646988936,47374.061049443175,12.366914510726929,openmm_minimized
moxneongreen,8.0,9.0,2603560974.0582285,14031.266599668108,2603546942.791629,12.839620113372805,openmm_minimized
moxvenus,7.0,11.0,49363.34092577609,10972.678158131852,38390.66276764424,11.416857719421388,openmm_minimized
mpa-gfp,5.0,5.0,47254.7817781212,11694.834819834048,35559.94695828715,12.098475933074951,openmm_minimized
mpapaya,20.0,25.0,1521828497.156311,16750.566491175232,1521811746.58982,13.673529863357544,openmm_minimized
mpapaya03,27.0,23.0,227035.3342488648,16716.12271203108,210319.21153683373,13.723983764648438,openmm_minimized
mpapaya06,24.0,19.0,240475.29920609228,16125.41364968994,224349.88555640235,11.889824628829956,openmm_minimized
mpapaya07,17.0,21.0,220272.90498869223,16314.60729926656,203958.29768942567,11.793001890182495,openmm_minimized
mraspberry,0.0,5.0,91596.33961357152,11441.674153402728,80154.66546016879,11.129672765731812,openmm_minimized
mred7,2.0,5.0,305685.4137825619,13368.806035458269,292316.6077471036,11.828730821609495,openmm_minimized
mred7q1,2.0,2.0,711775.0292623315,12093.352812945535,699681.676449386,12.886145114898682,openmm_minimized
mred7q1s1,1.0,8.0,87463.38210724248,12065.98522774628,75397.3968794962,11.118076086044312,openmm_minimized
mred7q1s1bm,3.0,7.0,82164.12171527864,9574.630376974494,72589.49133830414,11.814114809036257,openmm_minimized
mrfp1,3.0,5.0,114304.98016567613,10662.214649284866,103642.76551639126,10.375215291976929,openmm_minimized
mrfp1-q66c,2.0,9.0,75583.59662929691,10984.634659983563,64598.96196931334,10.435104846954346,openmm_minimized
mrfp1-q66s,2.0,3.0,180773.87208959417,10624.666583485878,170149.20550610826,10.352936267852783,openmm_minimized
mrfp1-q66t,3.0,7.0,74843.83646049208,10935.267350071865,63908.56911042021,11.44501781463623,openmm_minimized
mrfp11,3.0,7.0,3155017.453389854,10795.48199581501,3144221.971394039,10.114800214767456,openmm_minimized
mrfp12,2.0,3.0,1850015.727135236,11540.240126764082,1838475.4870084715,9.886337995529177,openmm_minimized
mrfp13,2.0,3.0,2275562.7831770475,12016.684113577356,2263546.09906347,12.381822347640991,openmm_minimized
mrfp14,2.0,2.0,78859.7093529572,12080.473512305764,66779.23584065144,11.826815366744995,openmm_minimized
mrfp15,2.0,4.0,637029.1808817338,12192.822408249438,624836.3584734843,13.35012173652649,openmm_minimized
mrfp1_magenta,2.0,3.0,78387.8073589961,10858.308427922986,67529.49893107312,11.72326159477234,openmm_minimized
mrfp1_pink,1.0,6.0,82568.03257663237,10692.882714684172,71875.14986194819,12.668465852737429,openmm_minimized
mrfp1_violet,4.0,6.0,84089.99866551463,11023.836652553557,73066.16201296108,10.742750883102415,openmm_minimized
mrfp1_yellow,3.0,3.0,1380804.792789165,11225.489473930123,1369579.3033152348,10.359585523605348,openmm_minimized
mrojob,4.0,5.0,76945.05130526565,12530.172400964866,64414.87890430078,12.829886436462402,openmm_minimized
mrtms5,5.0,7.0,48361.84735304587,10422.057669063335,37939.78968398253,10.207338333129885,openmm_minimized
