fold,best_val_loss,time_min
0,0.18797682970762253,4.783824932575226
1,0.2064800001680851,3.8164180954297384
2,0.22420799856384596,2.718146336078644
3,0.2837168338398139,3.3220672806104026
4,0.19751290045678616,3.739593823750814
5,0.18657485644022623,3.2155420621236166
6,0.22483306874831518,2.832876400152842
7,0.16895778477191925,4.708613880475363
8,0.21512907122572264,2.526637840270996
9,0.20112370947996774,4.296319822470347
10,0.18212702994545302,4.414289299647013
11,0.1694327356914679,2.318684669335683
12,0.2187986715386311,5.924534392356873
13,0.1370366799334685,4.121055483818054
14,0.2363262946407,2.716955324014028
15,0.2886081437269847,2.3973092873891195
16,0.17669465020298958,3.412765717506409
17,0.16931367789705595,3.9175237735112507
18,0.19054981445272764,3.4140620032946267
19,0.26195119445522624,2.6148737827936808
